,Borough,2010 Census Tract Number:,Total Low-Income Units:
812,BROOKLYN,1208.0,35.0
813,BROOKLYN,303.0,33.0
814,BROOKLYN,245.0,37.0
815,BROOKLYN,245.0,3.0
816,BROOKLYN,423.0,6.0
817,BROOKLYN,429.0,2.0
818,BROOKLYN,423.0,3.0
819,BROOKLYN,391.0,4.0
820,BROOKLYN,421.0,4.0
821,BROOKLYN,317.02,87.0
822,BROOKLYN,1220.0,101.0
823,BROOKLYN,249.0,3.0
824,BROOKLYN,245.0,5.0
825,BROOKLYN,229.0,6.0
826,BROOKLYN,267.0,5.0
827,BROOKLYN,269.0,2.0
828,BROOKLYN,269.0,2.0
829,BROOKLYN,269.0,4.0
830,BROOKLYN,227.0,5.0
831,BROOKLYN,227.0,3.0
832,BROOKLYN,241.0,42.0
833,BROOKLYN,219.0,31.0
834,BROOKLYN,425.0,59.0
835,BROOKLYN,505.0,13.0
836,BROOKLYN,231.0,26.0
837,BROOKLYN,359.0,34.0
838,BROOKLYN,381.0,3.0
839,BROOKLYN,381.0,6.0
840,BROOKLYN,383.0,2.0
841,BROOKLYN,381.0,4.0
842,BROOKLYN,381.0,6.0
843,BROOKLYN,381.0,6.0
844,BROOKLYN,281.0,63.0
845,BROOKLYN,453.0,2.0
846,BROOKLYN,453.0,3.0
847,BROOKLYN,313.0,7.0
848,BROOKLYN,315.0,2.0
849,BROOKLYN,353.0,7.0
850,BROOKLYN,313.0,2.0
851,BROOKLYN,317.01,6.0
852,BROOKLYN,315.0,5.0
853,BROOKLYN,339.0,5.0
854,BROOKLYN,315.0,3.0
855,BROOKLYN,311.0,6.0
