,Fl_ft2,LotArea,NumFloors,norm_gas,BuiltFAR,incomePC,ENERGY STAR Score,eui,log_eui,ZIPCODE,d_ghg,id_ghg,norm_elct,age,log_fl_ft2,log_LotArea,log_norm_gas,predicted_eui,diff_eui
1889,75569.0,10100,8.0,32853.0,7.48,64.16747818220519,80.0,68.7,1.8369567370595503,10025,174.5,56.6,3.5,108,11.232801425162886,9.22029070282935,10.39979834394387,81.91419075673454,63.21419075673454
1891,98097.0,7567,5.0,1404.1,12.96,64.16747818220519,24.0,115.8,2.0637085593914173,10025,427.6,95.3,5.5,107,11.49371206404609,8.931551966694522,7.247151807120597,78.021172356646,12.221172356646008
1892,107019.0,12423,9.0,2486.2,8.61,64.16747818220519,98.0,58.0,1.7634279935629371,10025,387.5,86.9,2.8,99,11.580761667773798,9.427304872213677,7.818510719357615,69.72953322116513,61.72953322116513
1894,69590.0,7564,12.0,1437.2,9.2,64.16747818220519,48.0,89.4,1.9513375187959177,10025,386.9,86.3,4.2,97,11.150376157838895,8.931155429778348,7.270452055239364,81.10495730394132,41.70495730394131
1896,87941.0,10176,10.0,1125.1,8.64,64.16747818220519,59.0,96.5,1.9845273133437928,10025,545.0,100.8,3.9,102,11.384421414059732,9.227787285579904,7.025627199577026,78.77111676555114,32.27111676555114
1897,58300.0,7575,8.0,35413.0,7.7,64.16747818220519,82.0,63.7,1.8041394323353503,10025,188.1,52.9,2.8,97,10.973357372338583,8.93260863037757,10.47483426334725,80.00144032199245,66.30144032199244
1898,110740.0,22657,7.0,61828.4,4.89,64.16747818220519,79.0,64.8,1.8115750058705933,10025,325.4,171.5,4.7,71,11.614940390376958,10.028224133937455,11.032118084811998,80.79599556881078,65.99599556881078
1899,91615.0,7280,16.0,2063.9,12.58,64.16747818220519,72.0,86.7,1.9380190974762104,10025,506.6,95.3,3.6,90,11.425350292714276,8.892886141190731,7.63235267581533,76.28284996220498,39.582849962204975
1900,106704.0,10885,13.0,4750.7,9.8,64.16747818220519,80.0,74.4,1.8715729355458788,10025,519.0,122.1,3.7,101,11.577813924872087,9.295140973668648,8.46604725459208,78.71008300799251,54.3100830079925
1901,96318.0,12000,8.0,49455.5,8.03,64.16747818220519,86.0,75.6,1.8785217955012063,10025,256.6,80.8,3.6,97,11.47541049620747,9.392661928770137,10.808828554324027,78.60132307862246,53.00132307862246
