,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2013 Inflation Adjusted Dollars),Per capita income (In 2013 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
2694,"Census Tract 238.02, New York County, New York",25026.6,2585.0,1625.0,607.0,277.0,21.0,601.0,810.0,"$120,682","$37,167",0.46,582.0,2003.0,,"$2,001",329.0,1051.0,1020.0,2218.0,668.0,1380.0,2013
2695,Unnamed: 2696,,,0.629,0.235,0.107,0.008,0.271,0.365,,,,0.871,,,,0.23800000000000002,0.762,0.395,,,,2013
2696,"Census Tract 239, New York County, New York",91164.9,2259.0,621.0,1302.0,0.0,188.0,548.0,547.0,"$35,238","$21,932",0.49,976.0,1939.0,"$233,300",$857,1034.0,1225.0,841.0,1665.0,1020.0,2259.0,2013
2697,Unnamed: 2698,,,0.275,0.5760000000000001,0.0,0.083,0.32899999999999996,0.32899999999999996,,,,0.9570000000000001,,,,0.45799999999999996,0.542,0.37200000000000005,,,,2013
2698,"Census Tract 240, New York County, New York",1826.0,1476.0,509.0,753.0,9.0,144.0,625.0,77.0,,"$4,289",,0.0,,,,1299.0,41.0,191.0,1397.0,0.0,1340.0,2013
2699,Unnamed: 2700,,,0.345,0.51,0.006,0.098,0.447,0.055,,,,,,,,0.9690000000000001,0.031,0.129,,,,2013
2700,"Census Tract 241, New York County, New York",111305.5,7742.0,1478.0,2997.0,262.0,2258.0,2079.0,1814.0,"$42,038","$26,563",0.47,3095.0,1939.0,"$249,000","$1,009",2926.0,4729.0,3725.0,5929.0,3460.0,7655.0,2013
2701,Unnamed: 2702,,,0.191,0.387,0.034,0.292,0.35100000000000003,0.306,,,,0.895,,,,0.382,0.618,0.48100000000000004,,,,2013
2702,"Census Tract 242, New York County, New York",25585.6,3550.0,531.0,1887.0,178.0,855.0,559.0,319.0,"$18,931","$13,558",0.51,1299.0,1977.0,,$399,2144.0,1367.0,810.0,2041.0,1372.0,3511.0,2013
2703,Unnamed: 2704,,,,,,,,,,,,,,,,,,,,,,2013
2704,Unnamed: 2705,,,,,,,,,,,,,,,,,,,,,,2013
2705,Unnamed: 2706,,,,,,,,,,,,,,,,,,,,,,2013
2706,Unnamed: 2707,,,,,,,,,,,,,,,,,,,,,,2013
2707,Unnamed: 2708,,,,,,,,,,,,,,,,,,,,,,2013
2708,Unnamed: 2709,,,,,,,,,,,,,,,,,,,,,,2013
2709,Unnamed: 2710,,,,,,,,,,,,,,,,,,,,,,2013
2710,Unnamed: 2711,,,,,,,,,,,,,,,,,,,,,,2013
2711,Unnamed: 2712,,,,,,,,,,,,,,,,,,,,,,2013
2712,Unnamed: 2713,,,,,,,,,,,,,,,,,,,,,,2013
2713,Unnamed: 2714,,,,,,,,,,,,,,,,,,,,,,2013
2714,Unnamed: 2715,,,,,,,,,,,,,,,,,,,,,,2013
2715,Unnamed: 2716,,,,,,,,,,,,,,,,,,,,,,2013
2716,Unnamed: 2717,,,,,,,,,,,,,,,,,,,,,,2013
2717,Unnamed: 2718,,,,,,,,,,,,,,,,,,,,,,2013
2718,Unnamed: 2719,,,,,,,,,,,,,,,,,,,,,,2013
2719,Unnamed: 2720,,,,,,,,,,,,,,,,,,,,,,2013
2720,Unnamed: 2721,,,,,,,,,,,,,,,,,,,,,,2013
2721,Unnamed: 2722,,,,,,,,,,,,,,,,,,,,,,2013
2722,Unnamed: 2723,,,,,,,,,,,,,,,,,,,,,,2013
2723,Unnamed: 2724,,,,,,,,,,,,,,,,,,,,,,2013
2724,Unnamed: 2725,,,,,,,,,,,,,,,,,,,,,,2013
2725,Unnamed: 2726,,,,,,,,,,,,,,,,,,,,,,2013
2726,Unnamed: 2727,,,,,,,,,,,,,,,,,,,,,,2013
2727,Unnamed: 2728,,,,,,,,,,,,,,,,,,,,,,2013
2728,Unnamed: 2729,,,,,,,,,,,,,,,,,,,,,,2013
2729,Unnamed: 2730,,,0.15,0.532,0.05,0.24100000000000002,0.27399999999999997,0.156,,,,0.9470000000000001,,,,0.611,0.389,0.228,,,,2013
2730,"Census Tract 243.01, New York County, New York",102860.6,4176.0,1102.0,1931.0,0.0,845.0,1000.0,641.0,"$32,394","$21,549",0.59,1339.0,1939.0,"$903,400","$1,122",2437.0,1511.0,1453.0,2876.0,1506.0,3948.0,2013
2731,Unnamed: 2732,,,0.264,0.462,0.0,0.20199999999999999,0.348,0.223,,,,0.889,,,,0.617,0.38299999999999995,0.348,,,,2013
2732,"Census Tract 243.02, New York County, New York",77709.0,6817.0,1163.0,4407.0,40.0,883.0,1448.0,273.0,"$19,955","$9,482",0.42,2371.0,1962.0,,$416,5484.0,1329.0,1619.0,3750.0,2460.0,6813.0,2013
2733,Unnamed: 2734,,,0.171,0.647,0.006,0.13,0.386,0.073,,,,0.9640000000000001,,,,0.805,0.195,0.23800000000000002,,,,2013
2734,"Census Tract 245, New York County, New York",195771.4,16059.0,4785.0,2412.0,127.0,6915.0,3960.0,2061.0,"$32,789","$15,400",0.45,4724.0,1939.0,"$115,900",$969,9808.0,6251.0,7955.0,10558.0,4915.0,16059.0,2013
2735,Unnamed: 2736,,,0.298,0.15,0.008,0.431,0.375,0.195,,,,0.961,,,,0.611,0.389,0.495,,,,2013
2736,"Census Tract 247, New York County, New York",81486.6,8087.0,2451.0,1316.0,412.0,3692.0,2090.0,1308.0,"$30,943","$17,694",0.49,2394.0,1939.0,"$468,800","$1,113",5087.0,3000.0,3797.0,5222.0,2617.0,8087.0,2013
2737,Unnamed: 2738,,,0.303,0.163,0.051,0.457,0.4,0.251,,,,0.915,,,,0.629,0.371,0.47,,,,2013
2738,"Census Tract 249, New York County, New York",44469.4,1041.0,216.0,110.0,20.0,644.0,238.0,84.0,"$35,625","$15,661",0.4,343.0,1939.0,"$57,600",$853,627.0,402.0,489.0,701.0,350.0,1029.0,2013
2739,Unnamed: 2740,,,0.20800000000000002,0.106,0.019,0.619,0.34,0.12,,,,0.98,,,,0.609,0.391,0.47,,,,2013
2740,"Census Tract 251, New York County, New York",44088.0,2691.0,868.0,518.0,71.0,1048.0,611.0,457.0,"$34,773","$17,050",0.42,740.0,1939.0,,$875,1415.0,1168.0,1260.0,1846.0,840.0,2583.0,2013
2741,Unnamed: 2742,,,0.32299999999999995,0.193,0.026000000000000002,0.389,0.331,0.248,,,,0.8809999999999999,,,,0.5479999999999999,0.452,0.46799999999999997,,,,2013
2742,"Census Tract 253, New York County, New York",170968.1,11178.0,3477.0,1440.0,296.0,5367.0,3508.0,1989.0,"$35,313","$17,702",0.45,3695.0,1939.0,"$165,000","$1,083",6878.0,4256.0,5785.0,8197.0,3889.0,11134.0,2013
2743,Unnamed: 2744,,,0.311,0.129,0.027000000000000003,0.48,0.428,0.243,,,,0.95,,,,0.618,0.382,0.518,,,,2013
